Tampilkan ,,,,
 entri,,,,
Cari:,,,,
No.,Nama Barang,Keterangan,HB (Rp.),
1,Kardus,,1000,
2,Duplek,,400,
3,Arsip (HVS) Putih,,1000,
4,Buku Cetak Bersih Tanpa Kulit,,1000,
5,Besi,,2500,
6,Rongsok,,1500,
7,Kaleng,,1800,
8,Alma Panci,,8000,
9,Alma Kaleng,,7000,
10,Seng,,500,
11,Pet Bening Mix +Blues,,2500,
12,Pet Biru Mix,,500,
13,Pet Bening,,3000,
14,Pet Warna,,500,
15,Lasegar,,800,
16,Ember Warna,,1200,
17,Aqua Gelas PP A,,3400,
18,Aqua Gelas PP B,,2400,
19,P. Campur,,500,
20,Mountea PP SABLON/ Ale - Ale,,1500,
21,P. Campur,,500,
22,Jelantah,,3400,
23,Multilayer,,150,
24,Beling / Kaca,,150,
25,Karung PP,,400,
26,Karung Pet,,150,
27,Botol Infus LDPE,,3000,
28,Jerigen Hemodialisa HDPE,,2000,
29,Spruit PP,,800,
30,Botol Kemasan B3,,1000,
31,Tutup Galon,,2000,
32,Tabung Gas,,150000,
33,Tali Plastik,,150,
34,Sepatu Bekas,,220,
35,Sepatu Safety Bekas,,2500,
36,Plastik Mika,,150,
37,PVC & Banner Spanduk,,100,
38,Sedotan / Pipet Bening,,500,
39,Mainan,,750,
40,PCB TV,,3000,
41,Kabel,,500,
42,Koran,,1800,
43,Kornis Roll,,200,
45,Baju Bekas,,120,
46,Ban Bekas,,130,
47,Sedotan pipet Warna,,400,
48,Pet mix kotor,,500,
49,Gelas PP Mix Kotor,,500,
50,Botol Soya,,1500,
51,Botol Milku,,500,
52,AKRILIK,,500,
53,micca,,100,
19,Kerasan / Hitaman,,500,
55,"Jasa pengangkutan, pemilahan, pengolahan",jasa / kg,4500,
56,Sampah Campur,Jasa pemilahan Cas/Kg,2500,
